Date,pts
29/10/2003,25
30/10/2003,21
1/11/2003,8
5/11/2003,7
7/11/2003,23
8/11/2003,17
10/11/2003,17
12/11/2003,18
14/11/2003,10
15/11/2003,22
18/11/2003,14
19/11/2003,28
21/11/2003,19
22/11/2003,15
26/11/2003,15
28/11/2003,6
29/11/2003,33
2/12/2003,19
3/12/2003,4
6/12/2003,8
9/12/2003,18
11/12/2003,23
13/12/2003,37
15/12/2003,27
17/12/2003,17
19/12/2003,36
20/12/2003,32
23/12/2003,22
25/12/2003,34
26/12/2003,18
28/12/2003,32
30/12/2003,22
2/1/2004,14
6/1/2004,14
7/1/2004,21
9/1/2004,19
12/1/2004,16
13/1/2004,27
15/1/2004,29
17/1/2004,29
26/1/2004,16
28/1/2004,27
30/1/2004,20
1/2/2004,38
3/2/2004,12
4/2/2004,32
6/2/2004,14
7/2/2004,14
9/2/2004,24
11/2/2004,9
18/2/2004,16
20/2/2004,32
22/2/2004,22
23/2/2004,21
25/2/2004,11
27/2/2004,30
1/3/2004,18
3/3/2004,24
5/3/2004,19
6/3/2004,24
8/3/2004,34
10/3/2004,14
14/3/2004,26
16/3/2004,17
19/3/2004,14
21/3/2004,15
23/3/2004,25
26/3/2004,16
27/3/2004,41
29/3/2004,18
30/3/2004,28
2/4/2004,20
3/4/2004,34
6/4/2004,21
7/4/2004,14
9/4/2004,24
10/4/2004,10
12/4/2004,27
14/4/2004,17
3/11/2004,28
4/11/2004,21
6/11/2004,31
9/11/2004,25
10/11/2004,38
13/11/2004,24
15/11/2004,33
18/11/2004,19
20/11/2004,25
21/11/2004,13
24/11/2004,43
26/11/2004,20
27/11/2004,26
29/11/2004,22
1/12/2004,15
2/12/2004,17
4/12/2004,27
7/12/2004,27
8/12/2004,19
11/12/2004,23
13/12/2004,31
15/12/2004,25
16/12/2004,11
18/12/2004,31
21/12/2004,26
22/12/2004,23
26/12/2004,22
28/12/2004,40
29/12/2004,3
3/1/2005,26
5/1/2005,20
8/1/2005,22
11/1/2005,29
13/1/2005,28
15/1/2005,27
16/1/2005,35
19/1/2005,27
20/1/2005,18
22/1/2005,28
24/1/2005,31
26/1/2005,27
1/2/2005,28
3/2/2005,31
5/2/2005,30
8/2/2005,15
11/2/2005,35
13/2/2005,25
16/2/2005,28
17/2/2005,26
23/2/2005,27
25/2/2005,21
27/2/2005,28
28/2/2005,20
2/3/2005,32
4/3/2005,34
6/3/2005,23
8/3/2005,23
13/3/2005,35
15/3/2005,36
16/3/2005,34
18/3/2005,16
20/3/2005,56
22/3/2005,29
24/3/2005,19
26/3/2005,19
28/3/2005,44
29/3/2005,22
31/3/2005,26
1/4/2005,35
3/4/2005,37
5/4/2005,24
6/4/2005,20
8/4/2005,37
9/4/2005,40
11/4/2005,33
14/4/2005,27
15/4/2005,38
17/4/2005,37
19/4/2005,32
20/4/2005,27
2/11/2005,31
4/11/2005,20
5/11/2005,36
7/11/2005,27
9/11/2005,31
11/11/2005,16
13/11/2005,26
15/11/2005,37
18/11/2005,16
19/11/2005,36
22/11/2005,36
24/11/2005,19
26/11/2005,38
30/11/2005,28
2/12/2005,34
3/12/2005,30
6/12/2005,30
9/12/2005,32
10/12/2005,52
13/12/2005,39
15/12/2005,26
17/12/2005,41
20/12/2005,25
22/12/2005,37
23/12/2005,14
26/12/2005,32
27/12/2005,31
31/12/2005,30
4/1/2006,32
5/1/2006,32
7/1/2006,35
10/1/2006,36
12/1/2006,28
14/1/2006,46
15/1/2006,29
18/1/2006,24
20/1/2006,14
21/1/2006,51
24/1/2006,23
25/1/2006,38
27/1/2006,30
29/1/2006,44
30/1/2006,30
1/2/2006,26
2/2/2006,29
4/2/2006,31
6/2/2006,22
8/2/2006,35
10/2/2006,18
11/2/2006,33
13/2/2006,44
15/2/2006,43
21/2/2006,26
22/2/2006,33
24/2/2006,25
26/2/2006,22
27/2/2006,26
1/3/2006,19
2/3/2006,33
5/3/2006,37
7/3/2006,17
8/3/2006,35
10/3/2006,25
12/3/2006,47
14/3/2006,36
17/3/2006,27
19/3/2006,29
22/3/2006,37
24/3/2006,36
26/3/2006,36
29/3/2006,46
1/4/2006,47
2/4/2006,35
4/4/2006,37
5/4/2006,36
8/4/2006,37
10/4/2006,32
12/4/2006,22
16/4/2006,17
1/11/2006,26
3/11/2006,35
4/11/2006,16
7/11/2006,34
9/11/2006,19
11/11/2006,38
13/11/2006,29
15/11/2006,32
17/11/2006,37
18/11/2006,20
21/11/2006,15
22/11/2006,30
24/11/2006,30
25/11/2006,25
29/11/2006,27
1/12/2006,31
2/12/2006,21
6/12/2006,26
9/12/2006,27
11/12/2006,15
13/12/2006,22
15/12/2006,22
16/12/2006,29
20/12/2006,37
21/12/2006,26
23/12/2006,32
27/12/2006,27
29/12/2006,32
30/12/2006,33
2/1/2007,19
3/1/2007,32
5/1/2007,8
6/1/2007,19
9/1/2007,34
11/1/2007,34
13/1/2007,28
16/1/2007,30
17/1/2007,23
19/1/2007,30
20/1/2007,32
22/1/2007,18
24/1/2007,39
28/1/2007,30
1/2/2007,17
2/2/2007,18
4/2/2007,21
7/2/2007,11
9/2/2007,29
11/2/2007,18
14/2/2007,23
15/2/2007,38
21/2/2007,29
22/2/2007,29
25/2/2007,29
27/2/2007,35
1/3/2007,39
3/3/2007,36
5/3/2007,32
7/3/2007,41
10/3/2007,32
11/3/2007,26
14/3/2007,29
17/3/2007,24
20/3/2007,37
21/3/2007,31
23/3/2007,21
25/3/2007,18
27/3/2007,26
28/3/2007,24
31/3/2007,39
3/4/2007,31
5/4/2007,35
6/4/2007,25
8/4/2007,20
12/4/2007,35
14/4/2007,23
17/4/2007,18
18/4/2007,24
31/10/2007,10
2/11/2007,45
4/11/2007,27
6/11/2007,24
7/11/2007,32
9/11/2007,26
11/11/2007,22
12/11/2007,27
14/11/2007,39
16/11/2007,40
20/11/2007,34
21/11/2007,45
24/11/2007,37
25/11/2007,30
27/11/2007,38
28/11/2007,15
11/12/2007,17
14/12/2007,29
15/12/2007,21
17/12/2007,31
19/12/2007,32
20/12/2007,33
23/12/2007,25
25/12/2007,25
27/12/2007,24
29/12/2007,21
2/1/2008,36
4/1/2008,24
6/1/2008,39
8/1/2008,22
9/1/2008,31
11/1/2008,31
15/1/2008,51
17/1/2008,27
21/1/2008,28
23/1/2008,23
25/1/2008,36
27/1/2008,41
30/1/2008,37
2/2/2008,28
5/2/2008,33
7/2/2008,32
